Macrotrends Data Download,,
,,
Nepal Population Growth Rate 1950-2023,,
Original Source: United Nations - World Population Prospects,,
,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
,,
date, Population, Annual Growth Rate
2010-12-31,27161567,0.5
2011-12-31,27266399,0.39
2012-12-31,27330694,0.24
2013-12-31,27381555,0.19
2014-12-31,27462106,0.29
2015-12-31,27610325,0.54
2016-12-31,27861186,0.91
2017-12-31,28183426,1.16
2018-12-31,28506712,1.15
2019-12-31,28832496,1.14
2020-12-31,29348627,1.79
2021-12-31,30034989,2.34
2022-12-31,30547580,1.71
2023-12-31,30896590,1.14
